bairro;localizacao;preco;quartos;m2;corretora;data_anuncio;pm2
Sudoeste ;QMSW 04 REFORMADA, DIVIDIDA, V. GARAGEM, AC. TROCA;315000;1;37;11983;28/01/2014;8.514
Asa Sul ;SQS 404 NASCENTE, VISTA LIVRE;315000;1;30;11983;28/01/2014;10.500
Sudoeste ;QMSW 04 TODA REFORMADA - LINDA - ACEITA TROCA;315000;1;37;17814;23/01/2014;8.514
Asa Norte ;SCLRN 715 BLOCO F ;315000;1;50;4497;27/12/2013;6.300
Asa Norte ;SHN 05 ALLIA HOTEL;315000;1;27;9706;18/12/2013;11.667
Noroeste ;SQNW -BARATO! ELEVADOR E GARAGEM, ACEITA FINANCIAMENTO-;315000;1;33,23;9909;22/01/2014;9.479
Noroeste ;CLNW 10/11 LOTE C 1 E 2 QUARTOS  NOROESTE -PRONTO;320000;1;31,3;14302;29/01/2014;10.224
Asa Sul ;SQS 409 3? ANDAR, MEIO DE QUADRA!!!;320000;1;40;11983;28/01/2014;8.000
Asa Sul ;CRS 502 BLOCO B ED. BRAFER - EXCELENTE LOCALIZA??O;320000;1;37,56;4036;27/01/2014;8.520
Asa Sul ;CRS 514 - EXCELENTE OPORTUNIDADE - 02 QTS;320000;2;45;13933;25/01/2014;7.111
Asa Sul ;CRS 515 - IPTU RESIDENCIAL.VARANDA!!!;320000;2;43;7421;22/01/2014;7.442
Sudoeste ;EQRSW 7/8 - MONUMENTAL SUDOESTE;320000;1;33,43;17097;20/01/2014;9.572
Asa Sul ;SQS 409 1 QUARTO, MEIO DE QUADRA!!!;320000;1;38;11983;16/01/2014;8.421
Asa Sul ;SHS QUADRA 02 BLOCO J ;320000;1;54;1704;10/01/2014;5.926
Noroeste ;SQNW ;320000;1;34,9;17969;02/01/2014;9.169
Asa Sul ;SQS 411 ORIGINAL ?TIMO PARA REFORMA;320000;1;51;7063;14/12/2013;6.275
Noroeste ;SQNW VIA SOHO- DIRETO DA CONSTRUTORA- 9668 4243;323000;1;33,7;11546;29/01/2014;9.585
Asa Sul ;SQS 409 OPORTUNIDADE!!! BLOCO PASTILHADO 9944-9575.;325000;1;40;10075;14/01/2014;8.125
Asa Norte ;CLN 212 EXCLUSIVIDADE ! SUPER REFORMA SALA 02 QTOS COZ LINDO;325000;2;44,05;7037;12/01/2014;7.378
Noroeste ;SQNW VIA SOHO - MUDE HOJE - LAZER COMPLETO - 9668 4243;325000;1;33,7;11546;29/01/2014;9.644
Noroeste ;SQNW 310 BLOCO D ;325000;1;34;10640;29/01/2014;9.559
Noroeste ;CLNW 10/11 LOTE B ;325000;1;27,91;10484;07/01/2014;11.645
Asa Norte ;CLN 302 DIVIDIDO E COM ARM?RIOS;330000;2;59;17001;30/01/2014;5.593
Asa Norte ;SCRN 704/705 ELEVADOR E GARAGEM! 9949-0121;330000;1;30;11476;29/01/2014;11.000
Asa Sul ;SQS 404 PRIME BRAS?LIA VENDE USE SEU FGTS 8408-4788;330000;1;43;19420;28/01/2014;7.674
Asa Sul ;SQS 404 USE SEU FGTS 8408-4788;330000;1;43;19420;28/01/2014;7.674
Sudoeste ;QMSW 06 REFORMADO!!!;330000;1;35;19420;28/01/2014;9.429
Asa Norte ;SCLRN 704 PRONTO PARA MORAR OU INVESTIR!!!!!!!!!!!!;330000;1;30;11983;28/01/2014;11.000
Asa Sul ;SQS 404 REFORMADO, DE CANTO, PRONTO PRA MORAR!!!;330000;1;30;11983;28/01/2014;11.000
Asa Sul ;SGAS 902 SALA COMERCIAL MOBILIADA C/ VAGA(02);330000;1;44,29;16711;27/01/2014;7.451
Asa Sul ;SQS 411 BLOCO O ;330000;1;50;6356;26/01/2014;6.600
Asa Sul ;SQS 404 EXCELENTE APT. DE CANTO, VISTA LIVRE;330000;1;40;11983;22/01/2014;8.250
Noroeste ;CLNW 10/11 MELHOR INVESTIMENTO PRA COPA...ALUGUEL CERTO!;330000;1;31,3;7353;21/01/2014;10.543
Asa Norte ;CLN 302 VISTA LIVRE - ACEITA PERMUTA POR APTO. 3 QTS.;330000;2;59;4371;21/01/2014;5.593
Asa Norte ;SETOR SHTN ;330000;1;37;6390;20/01/2014;8.919
Asa Sul ;CRS 516 BLOCO C ;330000;1;45;9397;31/12/2013;7.333
Asa Sul ;SQS 404 LINDO!!! 8464-5958;330000;1;30;11476;19/12/2013;11.000
Noroeste ;SQNW VIA SOHO - PRONTO - 9668 4243;330000;1;33,7;11546;29/01/2014;9.792
Sudoeste ;EQRSW 7/8 * MONUMENTAL SUDOESTE * NASCENTE (61) 8555-7003;330000;1;34;5915;21/01/2014;9.706
Sudoeste ;EQRSW 7/8 ANO NOVO CASA NOVA!!MONUMENTAL ALTO PADR?O;332000;1;33;9663;30/12/2013;10.061
Asa Norte ;SQN 314 RARIDADE, LINDO APTO, SEMI MOBILIADO, USE SEU FGTS;338000;1;40;17610;29/01/2014;8.450
Asa Norte ;SCRN 712/713 BLOCO D TOTALMENTE RESIDENCIAL COM ELEVADOR E LA;340000;2;52;15438;29/01/2014;6.538
Asa Norte ;SHCGN 708 ;340000;1;31,33;101;29/01/2014;10.852
Asa Sul ;SQS 413 BLOCO M ;340000;2;50;5386;27/01/2014;6.800
Asa Sul ;SQS 411 - OPORTUNIDADE!!!;340000;2;54;9722;20/01/2014;6.296
Asa Sul ;SQS 404 COM ELEVADOR RWF;345000;1;36;8066;07/01/2014;9.583
Noroeste ;SQNW 311 BLOCO D 1 QUARTO NO  SETOR NOROESTE;346361,52;1;30;17127;10/01/2014;11.545
Asa Sul ;SQS 413 IMPERD?VEL 02 QTS  EXCTE PRE?O R$$;347000;2;50;7037;27/01/2014;6.940
Asa Sul ;SQS 409 BLOCO F ;349000;1;43;11955;16/12/2013;8.116
Sudoeste ;EQRSW 7/8 V?RIAS UNIDADES!! EXCELENTE OPORTUNIDADE!!!;350000;1;33,5;11983;28/01/2014;10.448
Asa Norte ;SCLRN 705 ;350000;2;70;11569;24/01/2014;5.000
Sudoeste ;QMSW 04 LOTE 10 DOUBLE KIT;350000;2;44;7148;21/01/2014;7.955
Asa Sul ;SQS 404 ;350000;1;33;9807;20/01/2014;10.606
Sudoeste ;EQRSW 7/8 - MONUMENTAL SUDOESTE - MOBILIADO;350000;1;33,87;17097;20/01/2014;10.334
Asa Sul ;SQS 404 ;350000;1;30;9807;15/01/2014;11.667
Sudoeste ;QMSW 04 ;350000;2;44;17898;14/01/2014;7.955
Asa Norte ;SHCGN 703 BLOCO J PRIMEIRO ANDAR NASCENTE;350000;2;45;12622;14/01/2014;7.778
Asa Sul ;SQS 412 NASCENTE,  AC.CASA NO JARDIM BOT?NICO OU TERRENO;350000;2;52;11018;07/01/2014;6.731
Asa Norte ;SHN 05 ;350000;1;37,23;15594;17/12/2013;9.401
Noroeste ;CLNW 10/11 NEO RESIDENCIAS MODERNAS;354000;1;43;20381;24/01/2014;8.233
Noroeste ;CLNW 10/11 NEO RESID?NCIAS MODERNAS - 1 E 2 QUARTOS;354706,81;1;33,18;303164;13/01/2014;10.690
Noroeste ;CLNW 10/11 OPORTUNIDADE!!! EXCELENTE UM QUARTO!!;355000;1;33,18;11983;22/01/2014;10.699
Asa Norte ;SCLRN 704 PIAZZA VITTA- ACEITA FGTS C/ TERRA?O E VAGA;356000;1;50,56;13579;28/01/2014;7.041
Sudoeste ;CCSW 02 EDF. LINEA.EXCELENTE!!! LIGUE J?9529-4141;357000;1;38;11476;28/01/2014;9.395
Asa Norte ;SHLN QUADRA 01 BLOCO J SAINT MORITZ;359000;1;32;10584;29/01/2014;11.219
Noroeste ;CLNW 10/11 ;360000;1;33;17001;29/01/2014;10.909
Noroeste ;CLNW 10/11 ;360000;1;33;17001;28/01/2014;10.909
Sudoeste ;QMSW 04 EXCELENTE LOCALIZA??O!!;360000;2;49;19420;28/01/2014;7.347
Asa Sul ;SQS 412 MEIO DE QUADRA, NASCENTE;360000;2;42;11983;28/01/2014;8.571
Sudoeste ;QMSW 04 TRANSF EM 2 QTS - REFORMADO, C/ V.GARAGEM;360000;1;45;11983;28/01/2014;8.000
Sudoeste ;QMSW 04 REFORMADO C/ V. GARAGEM - CARIBE CENTER;360000;2;45;11983;28/01/2014;8.000
Asa Sul ;CRS 515 DESOCUPADO ACEITO FINANCIAMENTO. FGTS NICE 8493-1601;360000;1;52;11018;27/01/2014;6.923
Sudoeste ;QMSW 05 - GARAGEM - CARIBE CENTER;360000;2;60;13933;19/12/2013;6.000
